chromosome	measurement_unit	variant_type	qual_threshold	maf_threshold	n_hrdp_panel_variants	n_study_background_variants	coverage_percent
chr6	site	SNP	30	0	613312	401152	65.40749243451945
chr6	site	SNP	30	0.1	417908	395724	94.6916546225485
chr6	site	SNP	30	0.2	321293	317673	98.87330256183608
chr6	site	SNP	40	0	566859	372837	65.77244076569306
chr6	site	SNP	40	0.1	389365	370108	95.05425500494395
chr6	site	SNP	40	0.2	301783	299013	99.08212192204333
chr6	site	INDEL	30	0	153019	105273	68.79733889255583
chr6	site	INDEL	30	0.1	106908	98836	92.4495828188723
chr6	site	INDEL	30	0.2	81963	79390	96.8607786440223
chr6	site	INDEL	40	0	126978	90157	71.00206334955662
chr6	site	INDEL	40	0.1	92618	86605	93.50774147573905
chr6	site	INDEL	40	0.2	73275	71425	97.47526441487547
chr6	site	OTHER	30	0	8393	4675	55.70117955439056
chr6	site	OTHER	30	0.1	4962	4235	85.34864973800887
chr6	site	OTHER	30	0.2	3637	3394	93.31866923288425
chr6	site	OTHER	40	0	6008	3395	56.507989347536615
chr6	site	OTHER	40	0.1	3598	3116	86.60366870483602
chr6	site	OTHER	40	0.2	2703	2557	94.598594154643
chr6	allele	SNP	30	0	617233	402985	65.28895895067178
chr6	allele	SNP	30	0.1	419690	397282	94.66082108222736
chr6	allele	SNP	30	0.2	322452	318782	98.86184610422636
chr6	allele	SNP	40	0	569764	374192	65.674911015789
chr6	allele	SNP	40	0.1	390709	371302	95.03287613031694
chr6	allele	SNP	40	0.2	302691	299890	99.0746338675415
chr6	allele	INDEL	30	0	339253	171289	50.49004725087177
chr6	allele	INDEL	30	0.1	154264	136927	88.76147383705855
chr6	allele	INDEL	30	0.2	103360	99189	95.96458978328174
chr6	allele	INDEL	40	0	268110	140396	52.36507403677595
chr6	allele	INDEL	40	0.1	129690	116917	90.15112961677848
chr6	allele	INDEL	40	0.2	91370	88308	96.6487906314983
chr6	allele	OTHER	30	0	11487	6213	54.087229041525205
chr6	allele	OTHER	30	0.1	6579	5602	85.14971880224958
chr6	allele	OTHER	30	0.2	4815	4478	93.00103842159918
chr6	allele	OTHER	40	0	7959	4389	55.145118733509236
chr6	allele	OTHER	40	0.1	4646	4011	86.33232888506242
chr6	allele	OTHER	40	0.2	3475	3273	94.18705035971223
chr7	site	SNP	30	0	608368	397274	65.30159377219051
chr7	site	SNP	30	0.1	432770	393067	90.8258428264436
chr7	site	SNP	30	0.2	305411	286461	93.79524640566319
chr7	site	SNP	40	0	568615	374609	65.880956358872
chr7	site	SNP	40	0.1	407927	372449	91.30285565799763
chr7	site	SNP	40	0.2	289663	272220	93.97817463742349
chr7	site	INDEL	30	0	154961	106677	68.84119229999807
chr7	site	INDEL	30	0.1	111631	99981	89.5638308355206
chr7	site	INDEL	30	0.2	82009	76050	92.73372434732774
chr7	site	INDEL	40	0	129174	91953	71.18537786241814
chr7	site	INDEL	40	0.1	97332	88227	90.64541980027124
chr7	site	INDEL	40	0.2	73412	68484	93.28720100256089
chr7	site	OTHER	30	0	9089	4943	54.38442072835296
chr7	site	OTHER	30	0.1	5503	4498	81.73723423587134
chr7	site	OTHER	30	0.2	3888	3432	88.27160493827161
chr7	site	OTHER	40	0	6653	3689	55.44866977303472
chr7	site	OTHER	40	0.1	4055	3406	83.99506781750925
chr7	site	OTHER	40	0.2	2932	2638	89.97271487039563
chr7	allele	SNP	30	0	611635	398746	65.19345688196391
chr7	allele	SNP	30	0.1	434397	394390	90.79022184775677
chr7	allele	SNP	30	0.2	306429	287367	93.77930939956727
chr7	allele	SNP	40	0	571116	375724	65.7876858641677
chr7	allele	SNP	40	0.1	409171	373471	91.27504148632235
chr7	allele	SNP	40	0.2	290447	272918	93.96481974336109
chr7	allele	INDEL	30	0	349693	176853	50.573789009216654
chr7	allele	INDEL	30	0.1	164854	140889	85.46289443992866
chr7	allele	INDEL	30	0.2	104915	95963	91.46737835390554
chr7	allele	INDEL	40	0	278405	146116	52.48325281514341
chr7	allele	INDEL	40	0.1	139824	121335	86.77694816340542
chr7	allele	INDEL	40	0.2	92841	85455	92.0444631143568
chr7	allele	OTHER	30	0	12625	6682	52.926732673267324
chr7	allele	OTHER	30	0.1	7348	6006	81.73652694610779
chr7	allele	OTHER	30	0.2	5167	4563	88.31043158505904
chr7	allele	OTHER	40	0	8903	4851	54.48725148826238
chr7	allele	OTHER	40	0.1	5275	4436	84.09478672985782
chr7	allele	OTHER	40	0.2	3795	3418	90.06587615283267
chr8	site	SNP	30	0	513995	319132	62.08854171733188
chr8	site	SNP	30	0.1	349208	312941	89.61449909509518
chr8	site	SNP	30	0.2	261948	236401	90.24730099103638
chr8	site	SNP	40	0	486350	303745	62.453994037216
chr8	site	SNP	40	0.1	333019	298992	89.78226467558908
chr8	site	SNP	40	0.2	250988	226448	90.22264012622118
chr8	site	INDEL	30	0	141141	95880	67.93206793206794
chr8	site	INDEL	30	0.1	99046	88706	89.56040627587181
chr8	site	INDEL	30	0.2	73633	66604	90.45400839297598
chr8	site	INDEL	40	0	117271	81802	69.75467080522891
chr8	site	INDEL	40	0.1	86017	77760	90.40073473848193
chr8	site	INDEL	40	0.2	65977	59916	90.81346529851312
chr8	site	OTHER	30	0	8120	4503	55.45566502463054
chr8	site	OTHER	30	0.1	4853	4038	83.20626416649495
chr8	site	OTHER	30	0.2	3417	3007	88.00117061750073
chr8	site	OTHER	40	0	5901	3310	56.09218776478563
chr8	site	OTHER	40	0.1	3587	3033	84.555338723167
chr8	site	OTHER	40	0.2	2558	2276	88.97576231430806
chr8	allele	SNP	30	0	516437	320204	62.00252886605723
chr8	allele	SNP	30	0.1	350380	313894	89.58673440264856
chr8	allele	SNP	30	0.2	262712	237071	90.23988245683486
chr8	allele	SNP	40	0	488183	304515	62.3772232953626
chr8	allele	SNP	40	0.1	333875	299694	89.76233620366904
chr8	allele	SNP	40	0.2	251550	226942	90.21745179884715
chr8	allele	INDEL	30	0	327253	161547	49.364558919245965
chr8	allele	INDEL	30	0.1	146669	125057	85.26477987850193
chr8	allele	INDEL	30	0.2	92133	82103	89.11356408670075
chr8	allele	INDEL	40	0	257684	131220	50.922835721271014
chr8	allele	INDEL	40	0.1	123229	106387	86.33276258023679
chr8	allele	INDEL	40	0.2	81372	72773	89.43248291795703
chr8	allele	OTHER	30	0	11297	5972	52.86359210409843
chr8	allele	OTHER	30	0.1	6407	5284	82.47229592633057
chr8	allele	OTHER	30	0.2	4470	3904	87.33780760626398
chr8	allele	OTHER	40	0	7862	4232	53.828542355634696
chr8	allele	OTHER	40	0.1	4559	3828	83.9657819697302
chr8	allele	OTHER	40	0.2	3225	2853	88.46511627906976
chr9	site	SNP	30	0	526718	311678	59.17359953523518
chr9	site	SNP	30	0.1	341415	308702	90.4184057525299
chr9	site	SNP	30	0.2	273555	256564	93.78881760523478
chr9	site	SNP	40	0	492105	292559	59.45052377033357
chr9	site	SNP	40	0.1	320993	291156	90.70478172421205
chr9	site	SNP	40	0.2	260035	244141	93.88774588036226
chr9	site	INDEL	30	0	132946	85261	64.13205361575376
chr9	site	INDEL	30	0.1	88421	79220	89.59410094886961
chr9	site	INDEL	30	0.2	67930	63141	92.95009568673635
chr9	site	INDEL	40	0	111310	73296	65.8485311292786
chr9	site	INDEL	40	0.1	77286	69773	90.27896384856248
chr9	site	INDEL	40	0.2	61444	57339	93.31911984896817
chr9	site	OTHER	30	0	7469	3684	49.323872004284375
chr9	site	OTHER	30	0.1	4149	3335	80.38081465413353
chr9	site	OTHER	30	0.2	2886	2533	87.76853776853777
chr9	site	OTHER	40	0	5458	2671	48.93733968486625
chr9	site	OTHER	40	0.1	3022	2459	81.3699536730642
chr9	site	OTHER	40	0.2	2136	1894	88.67041198501873
chr9	allele	SNP	30	0	529506	312746	59.06373110030859
chr9	allele	SNP	30	0.1	342614	309650	90.3786768783529
chr9	allele	SNP	30	0.2	274380	257295	93.77323420074349
chr9	allele	SNP	40	0	494237	293336	59.35128288655038
chr9	allele	SNP	40	0.1	321898	291868	90.67095788106792
chr9	allele	SNP	40	0.2	260667	244703	93.8757111563796
chr9	allele	INDEL	30	0	295940	137769	46.55301750354802
chr9	allele	INDEL	30	0.1	126861	108153	85.25315108662237
chr9	allele	INDEL	30	0.2	83891	76850	91.606966182308
chr9	allele	INDEL	40	0	235228	112707	47.91393881680752
chr9	allele	INDEL	40	0.1	107280	92395	86.12509321401939
chr9	allele	INDEL	40	0.2	74810	68813	91.98369201978345
chr9	allele	OTHER	30	0	10313	4910	47.609812857558424
chr9	allele	OTHER	30	0.1	5473	4366	79.77343321761374
chr9	allele	OTHER	30	0.2	3807	3331	87.49671657473075
chr9	allele	OTHER	40	0	7242	3470	47.91494062413698
chr9	allele	OTHER	40	0.1	3895	3151	80.89858793324775
chr9	allele	OTHER	40	0.2	2756	2440	88.53410740203194
chr10	site	SNP	30	0	447764	257420	57.49010639533326
chr10	site	SNP	30	0.1	268580	255192	95.01526547025095
chr10	site	SNP	30	0.2	218840	216974	99.14732224456223
chr10	site	SNP	40	0	421801	244225	57.90052655162032
chr10	site	SNP	40	0.1	254968	242980	95.29823350381224
chr10	site	SNP	40	0.2	209081	207637	99.30935857394981
chr10	site	INDEL	30	0	136456	87667	64.24561763498856
chr10	site	INDEL	30	0.1	88560	81207	91.69715447154472
chr10	site	INDEL	30	0.2	68749	66720	97.04868434449956
chr10	site	INDEL	40	0	111774	74035	66.23633403117005
chr10	site	INDEL	40	0.1	75912	70425	92.77189377173569
chr10	site	INDEL	40	0.2	61236	59832	97.70723104056438
chr10	site	OTHER	30	0	8631	4360	50.51558336229869
chr10	site	OTHER	30	0.1	4692	3960	84.39897698209718
chr10	site	OTHER	30	0.2	3440	3193	92.81976744186046
chr10	site	OTHER	40	0	6193	3143	50.75084773130954
chr10	site	OTHER	40	0.1	3363	2905	86.3812072554267
chr10	site	OTHER	40	0.2	2549	2408	94.46841898783836
chr10	allele	SNP	30	0	450199	258404	57.39772856003678
chr10	allele	SNP	30	0.1	269611	256086	94.98351328395354
chr10	allele	SNP	30	0.2	219561	217659	99.13372593493379
chr10	allele	SNP	40	0	423652	244929	57.81372447197228
chr10	allele	SNP	40	0.1	255707	243630	95.27701627253067
chr10	allele	SNP	40	0.2	209610	208147	99.30203711654978
chr10	allele	INDEL	30	0	330617	152307	46.06750409083622
chr10	allele	INDEL	30	0.1	134337	118149	87.94970856874875
chr10	allele	INDEL	30	0.2	87750	84365	96.14245014245014
chr10	allele	INDEL	40	0	259433	123303	47.52787810340242
chr10	allele	INDEL	40	0.1	111813	99877	89.32503376172717
chr10	allele	INDEL	40	0.2	77172	74772	96.89006375369306
chr10	allele	OTHER	30	0	11831	5730	48.43208519989857
chr10	allele	OTHER	30	0.1	6145	5148	83.77542717656631
chr10	allele	OTHER	30	0.2	4451	4110	92.33880026960233
chr10	allele	OTHER	40	0	8231	4030	48.96124407726886
chr10	allele	OTHER	40	0.1	4271	3683	86.23273238117537
chr10	allele	OTHER	40	0.2	3208	3023	94.23316708229426
chr11	site	SNP	30	0	377922	229496	60.725758225242245
chr11	site	SNP	30	0.1	241578	227255	94.07106607389746
chr11	site	SNP	30	0.2	166044	160216	96.49008696490087
chr11	site	SNP	40	0	354659	217850	61.425199980826655
chr11	site	SNP	40	0.1	229514	216712	94.42212675479492
chr11	site	SNP	40	0.2	158522	153222	96.65661548554775
chr11	site	INDEL	30	0	94298	61016	64.70550807016056
chr11	site	INDEL	30	0.1	61464	56116	91.29897175582455
chr11	site	INDEL	30	0.2	43026	40599	94.35922465485986
chr11	site	INDEL	40	0	79030	52615	66.57598380361888
chr11	site	INDEL	40	0.1	53810	49728	92.41404943319085
chr11	site	INDEL	40	0.2	38730	36777	94.95739736638265
chr11	site	OTHER	30	0	4865	2562	52.66187050359712
chr11	site	OTHER	30	0.1	2707	2274	84.00443295160694
chr11	site	OTHER	30	0.2	1858	1687	90.79655543595264
chr11	site	OTHER	40	0	3465	1883	54.343434343434346
chr11	site	OTHER	40	0.1	1961	1692	86.28250892401836
chr11	site	OTHER	40	0.2	1372	1267	92.34693877551021
chr11	allele	SNP	30	0	379705	230182	60.62127177677407
chr11	allele	SNP	30	0.1	242324	227875	94.03732193261914
chr11	allele	SNP	30	0.2	166479	160613	96.47643246295328
chr11	allele	SNP	40	0	356051	218378	61.333348312460856
chr11	allele	SNP	40	0.1	230083	217199	94.40028163749604
chr11	allele	SNP	40	0.2	158861	153541	96.65116044844235
chr11	allele	INDEL	30	0	204638	98403	48.08637691924276
chr11	allele	INDEL	30	0.1	87817	76807	87.4625641959985
chr11	allele	INDEL	30	0.2	52982	49347	93.13917934392812
chr11	allele	INDEL	40	0	162750	81010	49.775729646697386
chr11	allele	INDEL	40	0.1	74508	66199	88.84817737692597
chr11	allele	INDEL	40	0.2	46964	44076	93.85060897708884
chr11	allele	OTHER	30	0	6791	3419	50.3460462376675
chr11	allele	OTHER	30	0.1	3641	3000	82.39494644328481
chr11	allele	OTHER	30	0.2	2480	2218	89.43548387096774
chr11	allele	OTHER	40	0	4696	2449	52.15076660988075
chr11	allele	OTHER	40	0.1	2591	2198	84.8321111539946
chr11	allele	OTHER	40	0.2	1789	1634	91.33594186696479
chr12	site	SNP	30	0	222018	142858	64.34523326937456
chr12	site	SNP	30	0.1	150576	141534	93.9950589735416
chr12	site	SNP	30	0.2	110048	107440	97.63012503634778
chr12	site	SNP	40	0	202992	131073	64.57052494679593
chr12	site	SNP	40	0.1	138445	130433	94.21286431434866
chr12	site	SNP	40	0.2	101223	99003	97.8068225600901
chr12	site	INDEL	30	0	68854	47590	69.11726261364626
chr12	site	INDEL	30	0.1	48493	44153	91.0502546759326
chr12	site	INDEL	30	0.2	36476	34374	94.23730672222831
chr12	site	INDEL	40	0	54567	39097	71.64953176828486
chr12	site	INDEL	40	0.1	40319	37230	92.33859966765048
chr12	site	INDEL	40	0.2	31426	29862	95.023229173296
chr12	site	OTHER	30	0	4615	2553	55.31960996749729
chr12	site	OTHER	30	0.1	2750	2343	85.2
chr12	site	OTHER	30	0.2	2023	1866	92.23924864063272
chr12	site	OTHER	40	0	3290	1844	56.048632218844986
chr12	site	OTHER	40	0.1	1989	1719	86.42533936651584
chr12	site	OTHER	40	0.2	1488	1387	93.21236559139786
chr12	allele	SNP	30	0	223344	143520	64.25961745110682
chr12	allele	SNP	30	0.1	151237	142121	93.97237448507971
chr12	allele	SNP	30	0.2	110489	107862	97.62238774900669
chr12	allele	SNP	40	0	203951	131557	64.50421915067835
chr12	allele	SNP	40	0.1	138936	130872	94.19588875453447
chr12	allele	SNP	40	0.2	101560	99328	97.80228436392281
chr12	allele	INDEL	30	0	161436	81191	50.2929953665849
chr12	allele	INDEL	30	0.1	72764	63374	87.09526689022044
chr12	allele	INDEL	30	0.2	46579	43314	92.99040340067413
chr12	allele	INDEL	40	0	124573	64551	51.81780963772246
chr12	allele	INDEL	40	0.1	59231	52387	88.44523982374095
chr12	allele	INDEL	40	0.2	39775	37307	93.7950974230044
chr12	allele	OTHER	30	0	6174	3304	53.51473922902494
chr12	allele	OTHER	30	0.1	3548	2989	84.24464487034949
chr12	allele	OTHER	30	0.2	2569	2349	91.43635655897236
chr12	allele	OTHER	40	0	4289	2316	53.99860107251107
chr12	allele	OTHER	40	0.1	2500	2131	85.24
chr12	allele	OTHER	40	0.2	1841	1701	92.39543726235742
chr13	site	SNP	30	0	530475	330811	62.36127998491918
chr13	site	SNP	30	0.1	341867	328253	96.01774959267786
chr13	site	SNP	30	0.2	246430	245197	99.49965507446333
chr13	site	SNP	40	0	500280	314765	62.917766051011434
chr13	site	SNP	40	0.1	325147	313412	96.39086320956368
chr13	site	SNP	40	0.2	235680	234928	99.68092328581128
chr13	site	INDEL	30	0	124812	79765	63.908117809185015
chr13	site	INDEL	30	0.1	80474	74386	92.4348236697567
chr13	site	INDEL	30	0.2	58775	57412	97.68098681412165
chr13	site	INDEL	40	0	104568	68923	65.91213373116058
chr13	site	INDEL	40	0.1	70400	65751	93.39630681818181
chr13	site	INDEL	40	0.2	52801	51860	98.21783678339425
chr13	site	OTHER	30	0	6799	3475	51.11045742020885
chr13	site	OTHER	30	0.1	3654	3157	86.3984674329502
chr13	site	OTHER	30	0.2	2613	2465	94.33601224646
chr13	site	OTHER	40	0	4994	2560	51.26151381657989
chr13	site	OTHER	40	0.1	2697	2364	87.65294771968854
chr13	site	OTHER	40	0.2	1955	1861	95.1918158567775
chr13	allele	SNP	30	0	533284	332110	62.276385565664825
chr13	allele	SNP	30	0.1	343154	329431	96.0009208693473
chr13	allele	SNP	30	0.2	247274	246021	99.49327466696863
chr13	allele	SNP	40	0	502523	315812	62.84528270347825
chr13	allele	SNP	40	0.1	326184	314377	96.38026390012999
